Beat_Interval,Systolic,Diastolic
0.48,123.44,68.603
0.488,126.62,68.351
0.48,124.36,69.815
0.488,124.87,68.937
0.488,127.23,69.918
0.488,127.04,70.02
0.48,125.85,68.683
0.488,123.3,70.078
0.488,125.61,66.788
0.488,122.39,68.608
0.48,120.5,65.996
0.488,119,66.175
0.488,120.89,66.864
0.48,123.21,67.706
0.488,121.47,66.934
0.488,122.59,68.448
0.48,125.38,69.229
0.488,125.59,67.662
0.48,123.35,69.149
0.48,125.74,70.357
0.488,127.88,70.846
0.52,133.66,68.617
0.512,132.37,67.37
0.512,130.33,69.377
0.52,131.62,68.498
0.52,132.53,67.974
0.512,131.4,65.217
0.504,129.43,68.245
0.512,129.59,68.844
0.512,131.69,68.44
0.512,132.27,68.254
0.512,130.97,67.396
0.496,129.11,69.514
0.504,131.2,70.007
0.512,132.91,69.288
0.496,130.37,70.478
0.512,133.15,70.167
0.504,134.91,69.95
0.504,132.7,70.003
0.504,131.4,70.345
0.512,133.1,69.727
0.504,134.32,69.564
0.512,131.94,69.306
0.504,131.66,69.785
0.504,132.74,69.515
0.512,133.44,68.672
0.504,131.55,68.196
0.504,130.08,69.71
0.512,131.95,68.942
0.504,130.96,69.528
0.504,131.47,68.929
0.512,133.06,68.88
0.512,132.74,68.457
0.504,131.25,67.676
0.504,129.97,69.776
0.504,132.74,69.266
0.512,134.38,69.027
0.52,133.26,66.46
0.504,130.36,69.342
0.512,131.56,69.325
0.52,132.99,69.599
0.512,133.13,68.844
0.512,131.27,68.222
0.528,114.91,59.482
0.536,119.24,59.756
0.528,117.58,57.482
0.52,111.76,59.058
0.536,113.16,59.641
0.528,116.72,60.28
0.536,120.17,60.839
0.52,116.74,57.478
0.528,111.76,58.078
0.536,114.62,59.5
0.528,119.23,59.837
0.536,112.39,59.414
0.528,116.23,59.628
0.536,118.12,59.975
0.528,114.18,57.549
0.528,110.91,57.874
0.536,114.3,59.944
0.528,119.22,60.41
0.536,118.51,57.285
0.528,112.5,59.049
0.528,114.07,59.482
0.536,117.07,59.915
0.528,119.18,60.658
0.528,118.07,59.624
0.536,117.06,56.993
0.528,110.54,58.01
0.536,112.39,58.82
0.536,117.01,59.329
0.536,116.89,58.441
0.528,112.5,57.065
0.528,109.39,58.135
0.536,113.28,58.84
0.536,116.89,59.03
0.536,115.34,56.113
0.52,110.25,58.748
0.512,130.8,71.788
0.504,128.8,72.01
0.512,126.82,71.181
0.512,128.73,72.442
0.52,131.3,71.921
0.512,130.16,71.762
0.512,128.48,72.344
0.52,128.36,71.767
0.52,130.76,71.478
0.52,129.91,71.132
0.512,127.72,71.127
0.52,124.87,69.83
0.52,126.62,71.055
0.512,124.4,69.968
0.52,126.36,70.815
0.512,128.32,70.501
0.512,126.68,70.66
0.504,124.55,70.443
0.52,125.92,70.651
0.512,129.03,71.082
0.512,127.86,70.691
0.512,125.72,71.344
0.512,126.16,71.495
0.512,129.67,71.583
0.52,129.23,70.621
0.504,126.85,71.326
0.52,127.98,70.358
0.512,125.46,70.843
0.512,125.76,71.078
0.52,128.66,70.852
0.512,127.96,68.245
0.512,125.43,70.713
0.512,123.49,69.941
0.512,125.22,70.212
0.512,127.81,70.212
0.512,126.14,70.496
0.512,124.06,70.257
0.512,125.41,70.798
0.512,128.51,71.038
0.552,135.94,63.823
0.56,135.61,64.552
0.56,136.49,65.37
0.568,136.97,64.691
0.56,136.88,64.267
0.552,137.31,65.321
0.56,138.16,66.815
0.552,140.06,66.253
0.568,140.08,64.373
0.552,139,66.811
0.552,140.15,67.674
0.56,139.96,67.539
0.552,137.57,66.937
0.568,139.79,66.792
0.568,140.48,65.972
0.56,139.6,65.232
0.552,139.01,66.832
0.568,138.42,65.518
0.568,139.25,64.883
0.576,138.05,63.238
0.56,135.92,65.285
0.56,135.58,65.513
0.568,136.18,64.361
0.56,135.48,63.416
0.56,134.55,63.962
0.552,134.13,65.578
0.552,134.23,65.956
0.56,135.06,65.39
0.552,134.19,64.446
0.552,133.8,66.811
0.552,134.66,66.473
0.552,136.29,66.176
0.552,135.74,63.97
0.544,134.66,67.034
0.552,136.12,67.531
0.56,136.8,67.047
0.528,146.72,72.167
0.536,146.91,71.275
0.552,148.33,70.812
0.544,146.77,69.961
0.536,144.56,70.164
0.544,145.31,69.741
0.544,146.76,70.441
0.544,145.8,70.046
0.536,144.52,70.408
0.536,145.06,70.355
0.544,146.73,70.791
0.544,146.43,70.038
0.552,144.45,67.772
0.536,143.18,70.644
0.536,141.99,69.969
0.544,143.31,69.974
0.544,144.01,70.498
0.544,144.24,69.904
0.528,143.06,69.96
0.536,143.49,69.81
0.544,145.29,70.433
0.544,146.21,71.345
0.544,145.35,70.706
0.544,144.65,69.566
0.536,143.33,71.275
0.544,145.11,71.08
0.552,145.71,70.454
0.536,144.4,69.281
0.544,144.41,69.978
0.544,144.9,69.757
0.544,144.12,68.784
0.536,143.34,70.485
0.552,147.12,70.067
0.56,147.76,70.446
0.568,148.35,69.287
0.568,147.88,67.397
0.544,147.18,70.449
0.568,149.07,70.38
0.552,149.32,69.705
0.568,148.41,67.675
0.544,147.75,69.908
0.56,147.93,69.395
0.56,147.14,68.956
0.504,145.25,64.609
0.552,150.29,66.343
0.552,148.76,70.613
0.552,151.78,70.267
